Recording timestamp,Pupil diameter left,Pupil diameter right
4897,4.19,4.09
4917,4.11,4.09
4937,4.09,4.06
4957,4.08,4.06
4977,4.07,4.05
4997,4.06,4.05
5017,,4.04
5037,,4.04
5057,4.06,4.04
5077,4.05,4.04
5097,4.03,4.03
5117,3.81,3.95
5137,3.85,3.94
5157,3.84,3.91
5177,3.83,3.89
5197,3.79,3.86
5217,3.77,3.84
5237,3.74,3.79
5257,3.72,3.79
5277,3.69,3.77
5297,3.67,3.73
5317,3.66,3.7
5337,3.66,3.71
5357,3.64,3.7
5377,3.63,3.68
5397,3.62,3.66
5417,3.62,3.65
5437,3.62,3.69
5457,3.62,3.69
5477,3.63,3.69
5497,3.63,3.7
5517,3.63,3.71
5537,3.63,3.71
5557,3.67,3.72
5577,3.7,3.73
5597,3.72,3.74
5617,3.75,3.77
5637,3.7,3.82
5657,3.85,3.92
5677,3.88,4.03
5697,3.89,4.07
5717,3.9,4.08
5737,3.83,4.09
5757,3.83,4.1
5777,3.83,4.1
5796,3.84,4.11
5816,3.85,4.12
5836,3.86,4.13
5856,4.09,4
5876,4.07,4.13
5896,4.07,4.17
5916,4.07,4.18
5936,4.08,4.18
5956,4.08,4.17
5976,4.08,4.17
5996,4.08,4.16
6016,4.08,4.16
6036,4.07,4.15
6056,4.08,4.15
6076,4.08,4.14
6096,4.09,4.14
6116,4.08,4.13
6136,4.06,4.13
6156,,3.79
6176,,
6196,,
6216,,5.65
6236,3.97,4.49
6256,3.95,4.24
6276,4.01,4.22
6296,4.02,4.18
6316,4.1,4.17
6336,4.19,4.17
6356,4.23,4.17
6376,4.23,4.18
6396,4.24,4.18
6416,4.24,4.18
6436,4.24,4.19
6456,4.25,4.19
6476,4.26,4.2
6496,4.27,4.2
6516,4.29,4.21
6536,4.29,4.22
6556,4.25,4.23
6576,4.22,4.24
6596,4.22,4.25
6616,4.21,4.25
6636,4.21,4.24
6656,4.2,4.24
6676,4.13,4.02
6696,,
6716,,
6736,,
6756,,
6776,,
6796,,
6816,3.94,3.83
6836,3.97,3.98
6856,4,4.06
6876,4.05,4.08
6896,4.1,4.1
6916,4.1,4.11
6936,4.1,4.12
6956,4.1,4.12
6976,4.12,4.14
6996,4.13,4.14
7016,4.15,4.15
7036,4.16,4.16
7056,4.16,4.18
7076,4.17,4.2
7096,4.18,4.21
7116,4.2,4.22
7136,4.21,4.22
7156,4.22,4.23
7176,4.25,4.24
7196,4.25,4.24
7216,4.25,4.25
7236,4.26,4.26
7256,4.26,4.26
7276,4.27,4.27
7296,4.28,4.27
7316,4.28,4.27
7336,4.28,4.27
7356,4.26,4.26
7376,4.27,4.26
7396,4.27,4.26
7416,4.28,4.26
7436,4.28,4.26
7455,4.29,4.26
7475,4.3,4.26
7495,4.34,4.27
7515,4.35,4.27
7535,4.31,4.27
7555,4.28,4.28
7575,4.27,4.28
7595,4.27,4.29
7615,4.27,4.29
7635,4.27,4.29
7655,4.27,4.3
7675,4.28,4.3
7695,4.28,4.31
7715,4.28,4.31
7735,4.28,4.31
7755,4.29,4.31
7775,4.29,4.32
7795,4.36,4.28
7815,4.37,4.25
7835,4.4,4.25
7855,4.41,4.24
7875,4.4,4.24
7895,4.41,4.24
7915,4.42,4.24
7935,4.43,4.24
7955,4.44,4.25
7975,4.45,4.25
7995,4.45,4.26
8015,4.54,4.33
8035,4.47,4.38
8055,4.44,4.42
8075,4.43,4.41
